UnitID,Group,CellType,FR_Before,FR_After,Lower_CI,Upper_CI,ResponseType
cid168,Emx,RS,0.143333333333333,0.201666666666667,0.0583333333333333,0.0583333333333333,Increased
cid170,Emx,RS,0.045,0.0516666666666667,0.00666666666666667,0.00666666666666667,Increased
cid172,Emx,RS,0.0833333333333333,0.0911111111111111,0.00777777777777779,0.00777777777777779,Increased
cid175,Emx,RS,0.0716666666666667,0.135555555555556,0.0638888888888889,0.0638888888888889,Increased
cid176,Emx,RS,0.128333333333333,0.0638888888888889,-0.0644444444444444,-0.0644444444444444,Decreased
cid178,Emx,RS,0.0961111111111111,0.0955555555555556,-0.000555555555555545,-0.000555555555555545,Decreased
cid187,Emx,RS,0.0766666666666667,0.125555555555556,0.0488888888888889,0.0488888888888889,Increased
cid192,Emx,RS,0.140555555555556,0.0777777777777778,-0.0627777777777778,-0.0627777777777778,Decreased
cid194,Emx,RS,0.142222222222222,0.08,-0.0622222222222222,-0.0622222222222222,Decreased
cid196,Emx,RS,0.178333333333333,0.102777777777778,-0.0755555555555556,-0.0755555555555556,Decreased
cid201,Emx,RS,0.0438888888888889,0.0277777777777778,-0.0161111111111111,-0.0161111111111111,Decreased
cid204,Emx,RS,0.0588888888888889,0.0722222222222222,0.0133333333333333,0.0133333333333333,Increased
cid212,Emx,RS,0.137777777777778,0.156666666666667,0.0188888888888889,0.0188888888888889,Increased
cid222,Emx,RS,0.243333333333333,0.0122222222222222,-0.231111111111111,-0.231111111111111,Decreased
cid277,Emx,RS,0.138888888888889,0.0627777777777778,-0.0761111111111111,-0.0761111111111111,Decreased
cid278,Emx,RS,0.0833333333333333,0.0572222222222222,-0.0261111111111111,-0.0261111111111111,Decreased
cid282,Emx,RS,0.0633333333333333,0.0522222222222222,-0.0111111111111111,-0.0111111111111111,Decreased
cid283,Emx,RS,0.121111111111111,0.0722222222222222,-0.0488888888888889,-0.0488888888888889,Decreased
cid303,Emx,RS,0.236111111111111,0.149444444444444,-0.0866666666666667,-0.0866666666666667,Decreased
cid311,Emx,RS,0.0244444444444444,0.0294444444444444,0.005,0.005,Increased
cid329,Emx,RS,0.0583333333333333,0.0416666666666667,-0.0166666666666667,-0.0166666666666667,Decreased
cid348,Emx,RS,0.00722222222222222,0.00722222222222222,0,0,No Change
cid364,Emx,RS,0.102222222222222,0.0827777777777778,-0.0194444444444444,-0.0194444444444444,Decreased
cid381,Emx,RS,0.188888888888889,0.141666666666667,-0.0472222222222222,-0.0472222222222222,Decreased
cid387,Emx,RS,0.0905555555555556,0.0788888888888889,-0.0116666666666667,-0.0116666666666667,Decreased
cid392,Emx,RS,0.00388888888888889,0.0155555555555556,0.0116666666666667,0.0116666666666667,Increased
cid394,Emx,RS,0.0755555555555556,0.0805555555555556,0.005,0.005,Increased
cid410,Emx,RS,0.0933333333333333,0.0744444444444444,-0.0188888888888889,-0.0188888888888889,Decreased
cid432,Emx,RS,0.0338888888888889,0.0233333333333333,-0.0105555555555556,-0.0105555555555556,Decreased
cid441,Emx,RS,0.121666666666667,0.0727777777777778,-0.0488888888888889,-0.0488888888888889,Decreased
cid447,Emx,RS,0.0494444444444444,0.0316666666666667,-0.0177777777777778,-0.0177777777777778,Decreased
cid0,Pvalb,RS,0.02,0.148888888888889,0.128888888888889,0.128888888888889,Increased
cid1,Pvalb,RS,0.119444444444444,0.0894444444444444,-0.03,-0.03,Decreased
cid29,Pvalb,RS,0.0222222222222222,0.0322222222222222,0.01,0.01,Increased
cid34,Pvalb,RS,0.368333333333333,0.393333333333333,0.025,0.025,Increased
cid35,Pvalb,RS,0.0627777777777778,0.0911111111111111,0.0283333333333333,0.0283333333333333,Increased
cid46,Pvalb,RS,0.0322222222222222,0.0338888888888889,0.00166666666666667,0.00166666666666667,Increased
cid47,Pvalb,RS,0.0316666666666667,0.0383333333333333,0.00666666666666666,0.00666666666666666,Increased
cid50,Pvalb,RS,1.39111111111111,1.53,0.138888888888889,0.138888888888889,Increased
cid51,Pvalb,RS,0.0188888888888889,0.01,-0.00888888888888889,-0.00888888888888889,Decreased
cid60,Pvalb,RS,0.0138888888888889,0.0505555555555556,0.0366666666666667,0.0366666666666667,Increased
cid66,Pvalb,RS,0.00555555555555556,0.0316666666666667,0.0261111111111111,0.0261111111111111,Increased
cid82,Pvalb,RS,0.0233333333333333,0.0311111111111111,0.00777777777777778,0.00777777777777778,Increased
cid89,Pvalb,RS,0.106111111111111,0.12,0.0138888888888889,0.0138888888888889,Increased
cid90,Pvalb,RS,0.163333333333333,0.240555555555556,0.0772222222222222,0.0772222222222222,Increased
cid93,Pvalb,RS,0.0127777777777778,0.0472222222222222,0.0344444444444444,0.0344444444444444,Increased
cid103,Pvalb,RS,0.0227777777777778,0.025,0.00222222222222222,0.00222222222222222,Increased
cid104,Pvalb,RS,0.0288888888888889,0.0361111111111111,0.00722222222222222,0.00722222222222222,Increased
cid137,Pvalb,RS,0.118333333333333,0.127777777777778,0.00944444444444444,0.00944444444444444,Increased
cid144,Pvalb,RS,0.01,0.0244444444444444,0.0144444444444444,0.0144444444444444,Increased
cid146,Pvalb,RS,0.0633333333333333,0.122222222222222,0.0588888888888889,0.0588888888888889,Increased
cid148,Pvalb,RS,0.0188888888888889,0.0272222222222222,0.00833333333333333,0.00833333333333333,Increased
cid159,Pvalb,RS,0.338333333333333,0.263888888888889,-0.0744444444444444,-0.0744444444444444,Decreased
cid180,Pvalb,RS,2.94777777777778,4.11444444444444,1.16666666666667,1.16666666666667,Increased
cid202,Pvalb,RS,1.895,2.39333333333333,0.498333333333334,0.498333333333334,Increased
cid214,Pvalb,RS,0.0177777777777778,0.0122222222222222,-0.00555555555555555,-0.00555555555555555,Decreased
cid215,Pvalb,RS,0.005,0.0238888888888889,0.0188888888888889,0.0188888888888889,Increased
cid216,Pvalb,RS,0.0388888888888889,0.105,0.0661111111111111,0.0661111111111111,Increased
cid222,Pvalb,RS,0.358888888888889,0.399444444444444,0.0405555555555556,0.0405555555555556,Increased
cid232,Pvalb,RS,0.0294444444444444,0.0522222222222222,0.0227777777777778,0.0227777777777778,Increased
cid234,Pvalb,RS,0.337222222222222,0.262777777777778,-0.0744444444444444,-0.0744444444444444,Decreased
